ЛСР,ЮЗАО,1,1950,0,1,152,18,66.26
Группа Эталон,ЮЗАО,2,1950,1,0,94,15,21.91
Донстрой,ЦАО,0,1953,1,0,387,21,62.93
Группа Эталон,ЮЗАО,1,1953,1,1,289,16,65.57
Группа Эталон,САО,2,1956,1,0,131,18,77.41
ПИК,ЮАО,1,1957,1,1,369,15,77.60
Донстрой,ЗАО,1,1961,0,0,368,28,71.41
Группа Эталон,ЮЗАО,1,1962,1,0,180,12,58.76
ЛСР,ЦАО,1,1963,0,1,329,7,41.92
Группа Эталон,САО,1,1973,0,0,192,30,44.27
ЛСР,ЦАО,2,1977,0,1,416,5,78.82
Самолёт,ЮАО,1,1978,0,1,220,28,26.32
Группа Эталон,ЮАО,1,1978,1,1,367,21,77.68
Самолёт,ЮАО,0,1980,0,1,159,6,58.53
Самолёт,ЮЗАО,1,1982,1,1,165,17,32.19
ЛСР,ЗАО,2,1988,1,0,405,22,36.14
Группа Эталон,ЮЗАО,2,1990,1,1,342,23,31.28
ПИК,ЦАО,0,1991,1,0,317,10,41.16
Донстрой,ЮАО,0,1991,1,0,57,13,64.15
Самолёт,ЮАО,0,1994,1,0,373,23,73.20
